,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
count,9993,9993,9993,9993,9993,9993,9993,9993,9993,9993,9993.0,9993,9993,9993,9993,9993,9993.0,9993.0,9993.0,9993.0
unique,5009,1237,1334,4,793,793,3,1,531,49,,4,1862,3,17,1850,,,,
top,CA-2017-100111,9/5/2016,12/16/2015,Standard Class,WB-21850,William Brown,Consumer,United States,New York City,California,,West,OFF-PA-10001970,Office Supplies,Binders,Staple envelope,,,,
freq,14,38,35,5967,37,37,5191,9993,915,2001,,3203,19,6026,1523,48,,,,
mean,,,,,,,,,,,55191.57640348244,,,,,,229.8528458220755,3.7897528269788854,0.1561883318322826,28.660970729510655
std,,,,,,,,,,,32065.07447790837,,,,,,623.2760738589196,2.2251490061179737,0.20645728624774906,234.27147564908645
min,,,,,,,,,,,1040.0,,,,,,0.444,1.0,0.0,-6599.978
25%,,,,,,,,,,,23223.0,,,,,,17.28,2.0,0.0,1.731
50%,,,,,,,,,,,56560.0,,,,,,54.48,3.0,0.2,8.671
75%,,,,,,,,,,,90008.0,,,,,,209.94,5.0,0.2,29.364
max,,,,,,,,,,,99301.0,,,,,,22638.48,14.0,0.8,8399.976
